date,vol_regime,zscore,pos_baseline,ret_baseline,pos_low_only_strict,ret_low_only_strict
2022-01-04,unknown,,0,0.0,0,0.0
2022-01-05,unknown,,0,0.0,0,0.0
2022-01-06,unknown,,0,0.0,0,0.0
2022-01-07,unknown,,0,0.0,0,0.0
2022-01-10,unknown,,0,0.0,0,0.0
2022-01-11,unknown,,0,0.0,0,0.0
2022-01-12,unknown,,0,0.0,0,0.0
2022-01-13,unknown,,0,0.0,0,0.0
2022-01-14,unknown,,0,0.0,0,0.0
2022-01-18,unknown,,0,0.0,0,0.0
2022-01-19,unknown,,0,0.0,0,0.0
2022-01-20,unknown,,0,0.0,0,0.0
2022-01-21,unknown,,0,0.0,0,0.0
2022-01-24,unknown,,0,0.0,0,0.0
2022-01-25,unknown,,0,0.0,0,0.0
2022-01-26,unknown,,0,0.0,0,0.0
2022-01-27,unknown,,0,0.0,0,0.0
2022-01-28,unknown,,0,0.0,0,0.0
2022-01-31,unknown,,0,0.0,0,0.0
2022-02-01,unknown,,0,0.0,0,0.0
2022-02-02,unknown,,0,0.0,0,0.0
2022-02-03,unknown,,0,0.0,0,0.0
2022-02-04,unknown,,0,0.0,0,0.0
2022-02-07,unknown,,0,0.0,0,0.0
2022-02-08,unknown,,0,0.0,0,0.0
2022-02-09,unknown,,0,0.0,0,0.0
2022-02-10,unknown,,0,0.0,0,0.0
2022-02-11,unknown,,0,0.0,0,0.0
2022-02-14,unknown,,0,0.0,0,0.0
2022-02-15,unknown,-1.31590413745008,0,0.0,0,0.0
2022-02-16,unknown,-1.0244973568312876,0,0.0,0,0.0
2022-02-17,unknown,-0.20346643114083293,0,0.0,0,0.0
2022-02-18,unknown,-0.16648711765611166,0,0.0,0,0.0
2022-02-22,unknown,0.2412736061650935,0,0.0,0,0.0
2022-02-23,unknown,0.4264731472180116,0,0.0,0,0.0
2022-02-24,unknown,0.9803000698670435,0,0.0,0,0.0
2022-02-25,unknown,0.7600342416577602,0,0.0,0,0.0
2022-02-28,unknown,-0.25079352448212006,0,0.0,0,0.0
2022-03-01,unknown,-0.16038007854573455,0,0.0,0,0.0
2022-03-02,unknown,-0.04584624834265,0,0.0,0,0.0
2022-03-03,unknown,-0.16774562952168143,0,0.0,0,0.0
2022-03-04,unknown,1.4565995176796496,0,0.0,0,0.0
2022-03-07,unknown,1.431909242504549,0,0.0,0,0.0
2022-03-08,unknown,1.8290852641254278,-1,-0.00045,0,0.0
2022-03-09,unknown,0.5523900702394161,0,-0.00045,0,0.0
2022-03-10,unknown,1.6955004882851543,0,0.0,0,0.0
2022-03-11,unknown,0.8402526487408403,0,0.0,0,0.0
2022-03-14,unknown,-0.7769428123693547,0,0.0,0,0.0
